ID;País;Ciudad;Tipo de Turismo;Atracción Principal;Nro de Visitantes Anuales;Gasto Promedio ($);Duracion Promedio (dias);Temporada Alta;Transporte Principal;Clima;Idioma;Moneda;Alojamiento Popular;Actividad Destacada;Seguridad;Requisitos de Visa;Valoracion (1-5);Fecha de Visita;Edad del Viajero;Motivo del Viaje
28;Japón;Tokio;Aventura;Akihabara;25531973;3097;5;Verano;Tren;Templado;Japonés;Yen;Resort;Surf;Alta;No para UE;3;17/05/2023;31;Estudio
29;Brasil;Río de Janeiro;Playa;Copacabana;32358173;1947;14;Primavera;Avión;Húmedo;Portugués;Real;Resort;Exploración;Alta;Si;2;16/03/2022;38;Negocios
30;Brasil;Río de Janeiro;Histórico;Copacabana;20044010;3329;3;Todo el año;Taxi;Tropical;Portugués;Real;Boutique;Gastronomía;Alta;No;5;19/04/2021;53;Luna de Miel
31;Brasil;Río de Janeiro;Religioso;Copacabana;12237185;2023;15;Verano;Bus;Tropical;Portugués;Real;Boutique;Exploración;Baja;No;2;05/10/2021;40;Estudio
32;España;Barcelona;Histórico;Sagrada Familia;34624652;2687;8;Otoño;Ferry;Húmedo;Español;Euro;Ryokan;Compras;Media;Si;5;10/12/2021;23;Vacaciones
33;Francia;París;Cultural;Torre Eiffel;35682013;3411;10;Todo el año;Bus;Templado;Francés;Euro;Resort;Museos;Alta;Si;5;28/02/2021;45;Luna de Miel
34;EE.UU.;Nueva York;Aventura;Times Square;33668680;608;15;Otoño;Bicicleta;Húmedo;Inglés;Dólar;Ryokan;Museos;Media;Si;1;08/09/2019;64;Negocios
35;Italia;Roma;Histórico;Coliseo;47512607;4712;4;Invierno;Bicicleta;Tropical;Italiano;Euro;Airbnb;Religión;Media;No para UE;2;12/06/2023;41;Vacaciones
36;Italia;Roma;Religioso;Coliseo;10287439;2754;15;Primavera;Taxi;Desértico;Italiano;Euro;Boutique;Gastronomía;Baja;Si;5;28/11/2020;55;Negocios
37;Australia;Sidney;Aventura;Ópera de Sidney;16062008;4769;4;Invierno;Ferry;Húmedo;Inglés;Dólar Australiano;Resort;Exploración;Media;Si;4;31/01/2022;70;Negocios
38;México;Cancún;Histórico;Playas del Caribe;38180035;1696;6;Invierno;Bus;Desértico;Español;Peso;Ryokan;Museos;Alta;No;2;12/04/2022;57;Aventura
39;Brasil;Río de Janeiro;Gastronómico;Copacabana;27786552;2200;2;Verano;Ferry;Tropical;Portugués;Real;Cabañas;Gastronomía;Baja;No;4;09/04/2019;19;Estudio
40;México;Cancún;Histórico;Playas del Caribe;40178897;4069;3;Invierno;Avión;Continental;Español;Peso;Airbnb;Anime;Baja;No;2;21/09/2022;62;Vacaciones
41;España;Barcelona;Gastronómico;Sagrada Familia;44081481;4450;8;Todo el año;Tren;Desértico;Español;Euro;Ryokan;Anime;Baja;No;2;28/03/2019;26;Negocios
42;Italia;Roma;Urbano;Coliseo;8481227;3133;8;Verano;Bicicleta;Continental;Italiano;Euro;Airbnb;Compras;Alta;No para UE;2;20/01/2023;57;Luna de Miel
43;Francia;París;Tecnológico;Torre Eiffel;9947457;3673;11;Primavera;Avión;Continental;Francés;Euro;Hostales;Exploración;Baja;No;5;29/05/2019;72;Vacaciones
44;EE.UU.;Nueva York;Gastronómico;Times Square;27540880;2534;10;Verano;Taxi;Continental;Inglés;Dólar;Cabañas;Exploración;Media;No para UE;2;02/02/2022;23;Vacaciones
45;México;Cancún;Gastronómico;Playas del Caribe;26336121;1199;2;Todo el año;Metro;Continental;Español;Peso;Camping;Exploración;Baja;No para UE;3;24/08/2019;44;Vacaciones
46;Italia;Roma;Cultural;Coliseo;15452281;4801;8;Otoño;Bus;Húmedo;Italiano;Euro;Airbnb;Exploración;Media;No;2;27/11/2023;64;Aventura
47;Australia;Sidney;Religioso;Ópera de Sidney;38998456;2918;9;Todo el año;Metro;Templado;Inglés;Dólar Australiano;Ryokan;Exploración;Baja;Si;2;03/01/2022;70;Aventura
48;Japón;Tokio;Playa;Akihabara;6379460;4060;9;Todo el año;Bicicleta;Continental;Japonés;Yen;Resort;Religión;Alta;Si;1;29/08/2020;19;Negocios
49;Francia;París;Cultural;Torre Eiffel;21468883;4817;8;Todo el año;Ferry;Templado;Francés;Euro;Boutique;Gastronomía;Media;No;2;14/01/2024;23;Aventura
50;Japón;Tokio;Cultural;Akihabara;33666302;707;6;Otoño;Bicicleta;Húmedo;Japonés;Yen;Hostales;Exploración;Baja;Si;2;26/01/2019;32;Negocios
51;EE.UU.;Nueva York;Playa;Times Square;45589695;4376;13;Todo el año;Bicicleta;Templado;Inglés;Dólar;Resort;Surf;Alta;No para UE;5;09/10/2019;53;Aventura
52;Italia;Roma;Religioso;Coliseo;20382841;3492;4;Todo el año;Bus;Continental;Italiano;Euro;Cabañas;Compras;Baja;No;2;27/10/2020;53;Vacaciones
53;Brasil;Río de Janeiro;Urbano;Copacabana;10278054;1299;12;Verano;Avión;Continental;Portugués;Real;Hostales;Gastronomía;Media;No;2;01/02/2023;65;Estudio
54;Japón;Tokio;Cultural;Akihabara;13598019;2184;11;Verano;Ferry;Desértico;Japonés;Yen;Cabañas;Compras;Baja;No;5;29/11/2019;40;Negocios
55;Tailandia;Bangkok;Aventura;Gran Palacio;30483381;2125;6;Invierno;Ferry;Templado;Tailandés;Baht;Ryokan;Gastronomía;Alta;Si;5;17/05/2019;70;Vacaciones
56;Australia;Sidney;Cultural;Ópera de Sidney;36010533;1527;5;Invierno;Bicicleta;Desértico;Inglés;Dólar Australiano;Ryokan;Gastronomía;Media;No;2;03/12/2019;18;Luna de Miel
57;Francia;París;Urbano;Torre Eiffel;38104605;1578;11;Primavera;Bus;Templado;Francés;Euro;Resort;Museos;Media;No para UE;3;29/03/2020;27;Aventura
58;Japón;Tokio;Aventura;Akihabara;8365972;2900;8;Invierno;Taxi;Húmedo;Japonés;Yen;Resort;Museos;Media;No;1;19/05/2023;35;Estudio
59;Tailandia;Bangkok;Religioso;Gran Palacio;6325565;3928;4;Invierno;Avión;Desértico;Tailandés;Baht;Hoteles;Exploración;Baja;Si;1;10/07/2019;36;Aventura
60;España;Barcelona;Gastronómico;Sagrada Familia;39239400;3157;12;Invierno;Metro;Continental;Español;Euro;Cabañas;Anime;Media;Si;4;30/11/2023;66;Negocios
61;Australia;Sidney;Tecnológico;Ópera de Sidney;16587182;3306;4;Invierno;Tren;Húmedo;Inglés;Dólar Australiano;Camping;Exploración;Alta;No para UE;4;06/08/2021;70;Estudio
62;Tailandia;Bangkok;Playa;Gran Palacio;27915179;4031;5;Otoño;Avión;Húmedo;Tailandés;Baht;Airbnb;Museos;Baja;No;3;10/02/2024;35;Negocios
63;Brasil;Río de Janeiro;Gastronómico;Copacabana;30480104;4060;10;Invierno;Taxi;Tropical;Portugués;Real;Hostales;Senderismo;Media;No;5;30/01/2021;36;Negocios
64;EE.UU.;Nueva York;Tecnológico;Times Square;43445685;2470;12;Primavera;Avión;Tropical;Inglés;Dólar;Hostales;Anime;Alta;No para UE;3;01/09/2019;63;Estudio
65;Australia;Sidney;Playa;Ópera de Sidney;25202379;3466;14;Invierno;Taxi;Continental;Inglés;Dólar Australiano;Ryokan;Gastronomía;Media;No;2;02/10/2021;37;Estudio
66;Tailandia;Bangkok;Aventura;Gran Palacio;42791314;4456;14;Primavera;Taxi;Tropical;Tailandés;Baht;Boutique;Senderismo;Media;No;5;07/11/2023;44;Estudio
67;Australia;Sidney;Urbano;Ópera de Sidney;10268645;4577;7;Primavera;Bicicleta;Continental;Inglés;Dólar Australiano;Cabañas;Museos;Alta;No;3;15/10/2022;53;Vacaciones
68;Italia;Roma;Playa;Coliseo;32708397;2699;7;Todo el año;Bicicleta;Templado;Italiano;Euro;Camping;Compras;Alta;Si;2;02/04/2020;65;Luna de Miel
69;Italia;Roma;Gastronómico;Coliseo;24973813;1154;10;Verano;Metro;Continental;Italiano;Euro;Boutique;Gastronomía;Alta;No;5;06/09/2020;32;Negocios
70;Australia;Sidney;Playa;Ópera de Sidney;45293956;4527;7;Todo el año;Taxi;Tropical;Inglés;Dólar Australiano;Cabañas;Compras;Baja;No para UE;2;15/10/2021;58;Luna de Miel
71;Francia;París;Aventura;Torre Eiffel;48049541;3570;13;Primavera;Avión;Tropical;Francés;Euro;Airbnb;Surf;Alta;No;2;15/08/2023;61;Vacaciones
72;Italia;Roma;Histórico;Coliseo;37661038;1541;12;Invierno;Bicicleta;Húmedo;Italiano;Euro;Cabañas;Religión;Alta;No para UE;5;14/03/2021;26;Luna de Miel
73;Australia;Sidney;Urbano;Ópera de Sidney;34387124;2469;10;Primavera;Bicicleta;Húmedo;Inglés;Dólar Australiano;Hostales;Anime;Alta;No;4;23/09/2022;78;Vacaciones
74;México;Cancún;Histórico;Playas del Caribe;38697216;2038;5;Otoño;Metro;Tropical;Español;Peso;Airbnb;Museos;Media;Si;5;04/11/2021;67;Estudio
75;Japón;Tokio;Aventura;Akihabara;22875673;598;6;Primavera;Ferry;Húmedo;Japonés;Yen;Camping;Museos;Alta;No para UE;5;01/07/2020;52;Luna de Miel
76;Australia;Sidney;Gastronómico;Ópera de Sidney;13213067;1175;4;Invierno;Taxi;Templado;Inglés;Dólar Australiano;Cabañas;Anime;Media;No;5;25/08/2023;53;Negocios
77;Egipto;El Cairo;Urbano;Pirámides de Giza;45004349;4886;3;Verano;Tren;Húmedo;Arabe;Libra Egipcia;Camping;Gastronomía;Baja;Si;3;25/01/2023;25;Luna de Miel
78;España;Barcelona;Religioso;Sagrada Familia;31084294;2562;12;Todo el año;Avión;Tropical;Español;Euro;Camping;Surf;Baja;Si;4;05/12/2019;39;Negocios
79;Italia;Roma;Cultural;Coliseo;11866206;3008;8;Primavera;Metro;Continental;Italiano;Euro;Hoteles;Surf;Alta;No para UE;4;03/04/2022;74;Vacaciones
80;Australia;Sidney;Urbano;Ópera de Sidney;19313872;2908;6;Todo el año;Ferry;Continental;Inglés;Dólar Australiano;Hostales;Compras;Media;No;3;28/12/2021;48;Vacaciones
81;Japón;Tokio;Cultural;Akihabara;17711763;1558;8;Todo el año;Avión;Desértico;Japonés;Yen;Airbnb;Exploración;Media;No;1;07/05/2021;73;Negocios
82;Japón;Tokio;Aventura;Akihabara;19912141;3050;6;Primavera;Bicicleta;Templado;Japonés;Yen;Cabañas;Senderismo;Alta;No;1;11/03/2022;74;Vacaciones
83;México;Cancún;Gastronómico;Playas del Caribe;46865106;4948;2;Primavera;Ferry;Tropical;Español;Peso;Resort;Exploración;Alta;No para UE;1;28/11/2020;37;Negocios
84;Francia;París;Religioso;Torre Eiffel;20449558;4024;10;Primavera;Metro;Continental;Francés;Euro;Hostales;Religión;Baja;No para UE;5;29/10/2019;56;Aventura
85;Italia;Roma;Playa;Coliseo;26135441;4001;11;Todo el año;Bus;Templado;Italiano;Euro;Camping;Religión;Alta;Si;3;25/12/2023;52;Vacaciones
86;Australia;Sidney;Religioso;Ópera de Sidney;13190704;4167;14;Otoño;Taxi;Templado;Inglés;Dólar Australiano;Cabañas;Surf;Alta;No;4;10/11/2022;68;Vacaciones
87;EE.UU.;Nueva York;Cultural;Times Square;43738504;527;4;Otoño;Bicicleta;Tropical;Inglés;Dólar;Hoteles;Gastronomía;Alta;No;1;30/05/2022;40;Aventura
88;Australia;Sidney;Urbano;Ópera de Sidney;13984366;2149;11;Verano;Bicicleta;Continental;Inglés;Dólar Australiano;Airbnb;Compras;Alta;No para UE;5;27/06/2019;64;Estudio
89;Italia;Roma;Religioso;Coliseo;20482952;3562;6;Todo el año;Avión;Templado;Italiano;Euro;Cabañas;Anime;Media;Si;5;31/01/2019;36;Luna de Miel
90;Japón;Tokio;Religioso;Akihabara;13789529;2185;8;Todo el año;Metro;Templado;Japonés;Yen;Hoteles;Surf;Media;No para UE;3;13/06/2023;45;Aventura
91;Francia;París;Cultural;Torre Eiffel;26954052;2506;5;Todo el año;Taxi;Tropical;Francés;Euro;Ryokan;Religión;Baja;Si;2;06/07/2019;79;Estudio
92;Japón;Tokio;Histórico;Akihabara;32928789;2702;5;Invierno;Avión;Templado;Japonés;Yen;Hoteles;Surf;Baja;No;1;03/01/2021;26;Estudio
93;México;Cancún;Urbano;Playas del Caribe;12596934;2392;5;Otoño;Metro;Templado;Español;Peso;Hostales;Gastronomía;Baja;Si;4;31/07/2021;70;Luna de Miel
94;Italia;Roma;Playa;Coliseo;39562039;2560;15;Todo el año;Ferry;Desértico;Italiano;Euro;Boutique;Exploración;Baja;Si;5;20/01/2020;33;Negocios
95;Italia;Roma;Religioso;Coliseo;49444083;4919;7;Todo el año;Avión;Templado;Italiano;Euro;Airbnb;Surf;Media;No;3;23/05/2019;38;Luna de Miel
96;Tailandia;Bangkok;Playa;Gran Palacio;26868593;1871;9;Verano;Metro;Húmedo;Tailandés;Baht;Resort;Compras;Alta;No para UE;4;23/08/2023;31;Aventura
97;Brasil;Río de Janeiro;Aventura;Copacabana;13915692;4151;4;Primavera;Metro;Tropical;Portugués;Real;Airbnb;Anime;Alta;Si;5;06/09/2021;78;Luna de Miel
98;Brasil;Río de Janeiro;Cultural;Copacabana;38921103;1645;11;Todo el año;Bicicleta;Desértico;Portugués;Real;Hostales;Museos;Media;No;1;08/11/2023;80;Estudio
99;Brasil;Río de Janeiro;Aventura;Copacabana;7445638;2005;11;Invierno;Ferry;Desértico;Portugués;Real;Ryokan;Religión;Alta;Si;4;01/05/2022;24;Luna de Miel
100;Tailandia;Bangkok;Gastronómico;Gran Palacio;48387841;1113;7;Verano;Taxi;Templado;Tailandés;Baht;Camping;Gastronomía;Alta;No;2;17/02/2023;77;Negocios
101;España;Barcelona;Religioso;Sagrada Familia;16965241;2945;11;Verano;Metro;Húmedo;Español;Euro;Hoteles;Museos;Media;No;3;05/12/2021;28;Vacaciones
102;Japón;Tokio;Histórico;Akihabara;23877991;4311;2;Otoño;Bus;Templado;Japonés;Yen;Hostales;Exploración;Alta;No;2;31/01/2019;23;Luna de Miel
103;Japón;Tokio;Cultural;Akihabara;45328032;1999;12;Otoño;Bus;Desértico;Japonés;Yen;Camping;Anime;Media;No;5;28/03/2023;68;Luna de Miel
104;Italia;Roma;Urbano;Coliseo;24729211;4308;3;Primavera;Ferry;Desértico;Italiano;Euro;Hostales;Senderismo;Alta;No;4;03/10/2022;21;Luna de Miel
105;México;Cancún;Urbano;Playas del Caribe;49171881;4072;10;Invierno;Tren;Desértico;Español;Peso;Ryokan;Surf;Alta;No;1;27/05/2023;31;Negocios
106;Francia;París;Gastronómico;Torre Eiffel;9789542;2190;3;Todo el año;Bicicleta;Tropical;Francés;Euro;Boutique;Gastronomía;Baja;No para UE;5;23/06/2019;71;Vacaciones
107;EE.UU.;Nueva York;Tecnológico;Times Square;46138152;802;11;Primavera;Metro;Desértico;Inglés;Dólar;Cabañas;Compras;Baja;Si;1;30/04/2021;37;Aventura
108;Francia;París;Tecnológico;Torre Eiffel;8112103;3320;4;Otoño;Tren;Húmedo;Francés;Euro;Resort;Religión;Alta;Si;2;18/02/2019;26;Vacaciones
109;Francia;París;Gastronómico;Torre Eiffel;26875183;3433;5;Invierno;Bicicleta;Templado;Francés;Euro;Cabañas;Museos;Baja;No;3;12/11/2021;55;Aventura
110;EE.UU.;Nueva York;Aventura;Times Square;48208223;2579;6;Todo el año;Tren;Continental;Inglés;Dólar;Airbnb;Surf;Alta;Si;4;11/08/2022;56;Luna de Miel
111;Australia;Sidney;Playa;Ópera de Sidney;14015246;3602;13;Todo el año;Bus;Tropical;Inglés;Dólar Australiano;Camping;Museos;Alta;No;5;15/10/2023;65;Estudio
112;Australia;Sidney;Religioso;Ópera de Sidney;24601979;1637;3;Invierno;Ferry;Tropical;Inglés;Dólar Australiano;Camping;Surf;Media;No;5;10/06/2021;45;Luna de Miel
113;Egipto;El Cairo;Tecnológico;Pirámides de Giza;27856174;2711;5;Primavera;Avión;Continental;Arabe;Libra Egipcia;Boutique;Anime;Media;No para UE;3;24/02/2019;58;Aventura
114;Tailandia;Bangkok;Religioso;Gran Palacio;34688451;4408;10;Verano;Taxi;Desértico;Tailandés;Baht;Resort;Compras;Media;Si;3;19/10/2019;47;Negocios
115;Francia;París;Tecnológico;Torre Eiffel;35618140;2107;4;Verano;Bus;Húmedo;Francés;Euro;Camping;Compras;Baja;No para UE;4;08/06/2022;50;Negocios
116;EE.UU.;Nueva York;Playa;Times Square;18258068;2400;12;Verano;Bus;Continental;Inglés;Dólar;Hoteles;Surf;Media;No;2;20/02/2023;69;Estudio
117;México;Cancún;Cultural;Playas del Caribe;23831119;2772;5;Todo el año;Tren;Templado;Español;Peso;Airbnb;Gastronomía;Alta;Si;2;22/07/2023;35;Luna de Miel
118;Francia;París;Urbano;Torre Eiffel;23354977;4696;10;Invierno;Bus;Continental;Francés;Euro;Hoteles;Senderismo;Media;No para UE;2;24/12/2022;55;Vacaciones
119;Egipto;El Cairo;Aventura;Pirámides de Giza;44316397;3002;6;Primavera;Bus;Desértico;Arabe;Libra Egipcia;Resort;Religión;Baja;Si;1;12/11/2019;44;Vacaciones
120;Tailandia;Bangkok;Cultural;Gran Palacio;15669012;2548;8;Otoño;Bicicleta;Desértico;Tailandés;Baht;Hoteles;Senderismo;Media;No;4;06/02/2019;33;Luna de Miel
121;México;Cancún;Histórico;Playas del Caribe;9987138;4680;3;Primavera;Avión;Tropical;Español;Peso;Resort;Surf;Alta;No;2;21/02/2021;40;Estudio
122;España;Barcelona;Gastronómico;Sagrada Familia;33041496;4731;13;Otoño;Bicicleta;Húmedo;Español;Euro;Cabañas;Religión;Baja;No para UE;4;06/03/2021;68;Estudio
123;México;Cancún;Aventura;Playas del Caribe;12824823;2667;13;Verano;Bicicleta;Continental;Español;Peso;Resort;Gastronomía;Baja;Si;5;21/04/2019;35;Negocios
124;EE.UU.;Nueva York;Histórico;Times Square;30387753;1368;11;Invierno;Bus;Templado;Inglés;Dólar;Hostales;Compras;Baja;No para UE;4;19/06/2023;49;Aventura
125;Francia;París;Gastronómico;Torre Eiffel;28431697;4788;5;Todo el año;Taxi;Continental;Francés;Euro;Ryokan;Anime;Baja;Si;5;09/01/2019;34;Negocios
126;Egipto;El Cairo;Religioso;Pirámides de Giza;7597874;2290;15;Primavera;Taxi;Húmedo;Arabe;Libra Egipcia;Hoteles;Surf;Baja;No;3;19/09/2021;41;Luna de Miel
127;Australia;Sidney;Histórico;Ópera de Sidney;31585120;4371;6;Invierno;Avión;Desértico;Inglés;Dólar Australiano;Airbnb;Gastronomía;Media;No;5;07/01/2021;54;Luna de Miel
128;Japón;Tokio;Cultural;Akihabara;11941827;4921;4;Verano;Metro;Templado;Japonés;Yen;Boutique;Religión;Alta;No;5;19/03/2019;76;Negocios
129;Brasil;Río de Janeiro;Aventura;Copacabana;7006662;3198;15;Otoño;Tren;Tropical;Portugués;Real;Ryokan;Religión;Baja;Si;1;28/10/2019;42;Vacaciones
130;Italia;Roma;Aventura;Coliseo;49282177;3707;14;Invierno;Avión;Húmedo;Italiano;Euro;Hostales;Museos;Baja;No;4;17/03/2022;19;Aventura
131;Francia;París;Playa;Torre Eiffel;25307288;1488;9;Primavera;Tren;Tropical;Francés;Euro;Airbnb;Surf;Baja;Si;5;27/06/2023;38;Aventura
132;España;Barcelona;Cultural;Sagrada Familia;26009953;1212;13;Otoño;Bus;Templado;Español;Euro;Ryokan;Compras;Media;Si;2;15/05/2021;23;Luna de Miel
133;EE.UU.;Nueva York;Gastronómico;Times Square;33857767;2942;10;Verano;Bus;Desértico;Inglés;Dólar;Boutique;Gastronomía;Alta;Si;3;22/03/2020;62;Negocios
134;Italia;Roma;Gastronómico;Coliseo;34252648;4833;15;Todo el año;Avión;Tropical;Italiano;Euro;Resort;Gastronomía;Baja;No para UE;1;04/05/2021;47;Vacaciones
135;EE.UU.;Nueva York;Histórico;Times Square;13882023;1679;2;Primavera;Avión;Desértico;Inglés;Dólar;Ryokan;Senderismo;Alta;No para UE;2;18/05/2020;28;Estudio
136;Australia;Sidney;Aventura;Ópera de Sidney;22486521;1650;4;Otoño;Bicicleta;Desértico;Inglés;Dólar Australiano;Airbnb;Gastronomía;Alta;No para UE;5;01/08/2022;69;Estudio
137;Brasil;Río de Janeiro;Aventura;Copacabana;25139869;1471;6;Verano;Tren;Desértico;Portugués;Real;Hostales;Religión;Alta;Si;4;22/10/2019;72;Estudio
138;Brasil;Río de Janeiro;Religioso;Copacabana;18165336;4045;5;Otoño;Bicicleta;Continental;Portugués;Real;Hoteles;Exploración;Alta;No para UE;1;09/09/2020;55;Aventura
139;Australia;Sidney;Histórico;Ópera de Sidney;40715892;2921;10;Verano;Bus;Templado;Inglés;Dólar Australiano;Airbnb;Museos;Media;No para UE;1;24/04/2021;76;Vacaciones
140;Italia;Roma;Histórico;Coliseo;36965055;1333;6;Primavera;Ferry;Templado;Italiano;Euro;Airbnb;Exploración;Baja;No;5;01/09/2023;65;Negocios
141;España;Barcelona;Urbano;Sagrada Familia;19000645;4370;5;Invierno;Bus;Tropical;Español;Euro;Hoteles;Exploración;Alta;No para UE;3;28/09/2019;78;Aventura
142;Brasil;Río de Janeiro;Aventura;Copacabana;9380611;4639;15;Primavera;Bus;Húmedo;Portugués;Real;Resort;Anime;Baja;Si;4;12/10/2020;40;Aventura
143;España;Barcelona;Urbano;Sagrada Familia;31426008;1407;7;Verano;Metro;Desértico;Español;Euro;Hoteles;Surf;Baja;No para UE;5;07/01/2021;30;Aventura
144;Egipto;El Cairo;Aventura;Pirámides de Giza;20796001;3545;10;Otoño;Bus;Continental;Arabe;Libra Egipcia;Airbnb;Compras;Baja;No para UE;2;13/09/2019;24;Vacaciones
145;Tailandia;Bangkok;Gastronómico;Gran Palacio;47506116;2405;2;Todo el año;Avión;Desértico;Tailandés;Baht;Cabañas;Museos;Baja;Si;5;08/07/2023;25;Luna de Miel
146;México;Cancún;Religioso;Playas del Caribe;36253396;3289;6;Invierno;Taxi;Desértico;Español;Peso;Resort;Exploración;Media;Si;1;11/06/2019;75;Estudio
147;EE.UU.;Nueva York;Gastronómico;Times Square;43240798;946;8;Otoño;Avión;Desértico;Inglés;Dólar;Airbnb;Religión;Media;No para UE;5;15/01/2021;32;Vacaciones
148;Australia;Sidney;Urbano;Ópera de Sidney;27432436;2462;10;Primavera;Bus;Tropical;Inglés;Dólar Australiano;Airbnb;Surf;Alta;No;1;30/04/2020;45;Negocios
149;México;Cancún;Cultural;Playas del Caribe;7442004;2807;7;Invierno;Bus;Desértico;Español;Peso;Airbnb;Compras;Media;Si;5;06/03/2021;63;Vacaciones
